Year,GDP per capita (current US$)
2007,908.0950852
2008,990.8466112
2009,957.9956752999999
2010,987.4097119999999
2011,1164.9788230000001
2012,1198.1176369999998
2013,1208.91771
2014,1251.1757189999998
2015,1356.667831
2016,1368.426961
2017,1464.926195
2018,1482.213067
2019,1284.702047
2020,1193.733397
