Month, CP, CS, PP, PS, MP, MS, TBP, TBS, JP, JS, TP,TS
May'16,15135,15278,2114,1744,123590,124236,715,739,26,30,4735,4021
June'16,12278,13638,2204,2806,118817,119363,677,752,76,84,3564,3379
July'16,12491,12147,1990,1743,107199,106823,627,700,59,42,2067,2055
Aug'16,16733,15170,2798,2414,133738,133093,825,715,82,69,2717,2391
Sept'16,14435,14088,2230,1938,123599,124219,718,578,78,34,2453,3412
Oct'16,15312,14454,1477,1516,140727,140644,772,587,0,18,4225,4729
Nov'16,16124,16018,1863,1816,147366,147204,747,654,0,24,5427,5145
Dec'16,15127,14024,2190,2000,139465,137750,786,647,2,18,4447,3201
Jan'17,17630,18255,2089,2503,143857,143871,629,827,207,126,4647,5390
Feb'17,17071,17119,1990,2330,135503,135507,587,734,152,237,5519,5647
Mar'17,18394,18295,2010,1967,140000,138877,691,732,232,243,6436,6650
Apr'17,15861,15863,1922,1727,139444,137550,814,829,860,739,6365,6263
May'17,17074,17478,2368,2253,153547,155855,951,904,1020,989,5746,5663
June'17,10684,12870,1338,1597,128520,129342,683,722,838,995,3926,4446
July'17,18681,16337,2309,2279,155629,154943,716,792,866,961,5087,4619
Aug'17,18681,18664,2517,2445,169195,170058,1021,861,970,985,5193,5138
Sept'17,17511,15639,2352,2242,143857,146018,1009,793,933,917,5338,5953
Oct'17,18893,19400,2522,2513,166658,166001,843,730,1538,1428,6133,6047
Nov'17,17423,17233,2647,2331,151527,150690,675,674,1540,1527,5947,5577
Dec'17,16598,16159,2554,2099,154119,153528,659,712,1187,979,4916,4976
Jan'18,20434,19924,2685,2673,170734,170456,890,938,904,965,6419,5863
Feb'18,17633,19027,2321,2842,145376,146310,755,779,940,785,6543,6454
Mar'18,20312,18988,2806,2263,168771,168883,894,1026,963,1133,6975,7633
Apr'18,19226,21540,2687,2990,178488,176931,922,983,1444,1081,7950,7979
May'18,17034,18223,2136,2645,169005,169298,874,906,1193,1010,6870,6753
June'18,15348,15652,1878,1814,155398,158224,871,899,886,1099,4523,3895
July'18,21377,18875,2741,1933,152174,150664,964,694,722,592,4558,3872
Aug'18,17977,15389,2305,1651,139374,140243,631,722,721,696,4341,4041
Sept'18,18834,16957,1971,1852,164973,165719,735,589,704,611,5040,5818
Oct'18,22553,21342,2143,2811,184628,182205,758,658,763,781,6382,6348
Nov'18,19521,15334,1796,1637,143997,141770,648,638,608,536,3938,3750
Dec'18,13232,16141,1631,2773,129714,128959,530,470,408,531,1710,654
Jan'19,20683,19353,2974,2435,147142,149107,565,602,411,750,1675,3486
Feb'19,17576,17071,2207,2165,137346,138555,450,563,630,663,4235,4044
Mar'19,18365,19897,1768,2453,142837,138010,395,492,778,528,5578,5729
Apr'19,14412,17076,1918,1640,151873,155215,477,472,638,721,5673,5430
May'19,11885,15428,1323,1863,153530,154782,449,451,676,600,3214,3599
June'19,12840,14767,1676,2149,135017,136730,346,412,466,645,3558,3634
July'19,16472,10968,1966,1310,115205,113096,408,525,507,316,2811,3089
Aug'19,10636,9126,2057,800,127850,128419,298,281,263,296,2762,2545
Sept'19,9090,10923,1471,714,127716,126141,268,264,97,182,4016,3761
Oct'19,9547,9566,1130,909,158657,156872,408,303,663,450,3889,2861
Nov'19,6744,8524,644,972,145001,146426,369,389,363,338,2412,1825
Dec'19,8373,9987,546,1916,135178,128866,322,315,201,197,781,1153
Jan'20,11475,10095,866,1387,139940,142445,375,444,386,482,683,2213
Feb'20,9859,10345,1253,1354,139167,139007,407,402,473,484,3054,3141
Mar'20,6432,5796,1075,811,100207,100413,339,342,337,395,2859,2925
Apr'20,0,0,0,39,0,2974,0,39,0,0,1742,2049
May'20,656,3800,57,650,34403,38167,0,76,13,77,3559,1851
June'20,5041,7325,1003,1186,147093,147179,283,267,261,242,4040,5314
July'20,8280,10123,1312,1133,148313,149921,294,255,385,403,3325,3613
Aug'20,7177,9885,1138,1436,140957,141027,313,284,512,421,3355,2844
Sept'20,12117,11860,1258,1367,160036,157788,287,385,758,755,4578,4272
Oct'20,11601,11997,1221,1263,171752,176082,318,366,714,822,4027,4516
Nov'20,11352,11914,2028,1750,169764,168937,347,315,883,869,3862,3262
Dec'20,11514,11247,1841,1817,158928,157116,279,342,855,892,4240,3346
Jan'21,13826,14543,1619,1773,162308,162564,232,363,1282,1199,3646,5247
Feb'21,13130,13570,1719,1808,154386,154409,336,329,1050,1058,4390,4476
Mar'21,17442,17105,2198,2037,173091,170350,548,575,1739,1671,5477,5547
Apr'21,14416,14435,1730,1697,159241,161419,330,333,1131,1101,4689,4544
May'21,12785,12934,1995,1769,146576,147729,441,395,832,993,4108,4224
June'21,18154,11569,1685,1059,157063,156590,653,405,1187,1122,5054,5029
